代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91664757362262016, 360006, F00000040M, 光大保德信新增长混合, 积极配置型, 5, 4, 0.97
91664758150791168, 005233, 0P0001C5QV, 广发睿毅领先混合A, 积极配置型, 5, 0, 18.33
91664758863822848, 270007, F00000043H, 广发大盘成长混合, 积极配置型, 5, 4, -3.85
91664759597826048, 004241, 0P00019LX8, 中欧时代先锋股票C, 普通股票型, 5, 0, 6.98
91664760298274816, 005235, 0P0001BSD9, 银华食品饮料量化优选股票A, 行业股票 - 消费, 5, 0, -3.31
91664761296519168, 163415, 0P0000XBF0, 兴全商业模式优选混合(LOF), 积极配置型, 5, 5, -5.87
91664762093436928, 100020, F0000003W7, 富国天益价值混合A, 积极配置型, 5, 5, -4.41
91664762831634432, 000294, 0P0000ZT7Z, 华安生态优先混合, 积极配置型, 5, 5, -14.38
91664763590803456, 960021, 0P00017JTP, 富兰克林国海潜力组合混合H 人民币, 积极配置型, 5, 4, 6.51
91664764329000960, 004424, 0P0001DBL4, 汇添富文体娱乐主题混合, 沪港深积极配置型, 5, 0, -12.66
91664765054615552, 005742, 0P0001CXZA, 南方成安优选灵活配置混合, 沪港深积极配置型, 5, 0, -4.03
91664783253700608, 001603, 0P00019IR0, 易方达安盈回报混合, 保守混合型, 5, 0, 12.69
91664784000286720, 002893, 0P000195HA, 华夏移动互联灵活配置混合(QDII)美元现钞, 环球股债混合, 5, 0, -6.22
91664784746872832, 001396, 0P00016458, 建信互联网+产业升级股票, 行业股票 - 科技、传媒及通讯, 5, 5, 10.35
91664785497653248, 005357, 0P0001CGJL, 富国国企改革灵活配置混合, 沪港深保守混合型, 5, 0, 12.63
91664786261016576, 270023, 0P00013BYF, 广发全球精选股票(QDII), 环球股票, 5, 5, -2.94
91664787036962816, 001182, 0P000162HN, 易方达安心回馈混合, 保守混合型, 5, 5, 5.15
91664787796131840, 040047, 0P0000YXTB, 华安纳斯达克100指数QDII - 美元现钞, 美国股票, 5, 5, 16.24
91664788521746432, 217002, F020217002, 招商安泰平衡混合, 保守混合型, 5, 4, 16.02
91664789251555328, 210014, 0P0001BN2C, 金鹰元丰债券, 积极债券型, 5, 0, 23.15
91664789968781312, 001045, 0P00018K8E, 华夏可转债增强债券A, 可转债基金, 5, 0, 5.95
91664790660841472, 040018, 0P0000PPFK, 华安香港精选股票(QDII), 大中华区股票, 5, 5, 6.10
91664791461953536, 005809, 0P0001D4LR, 前海开源裕源混合型基金中基金(FOF), 保守混合型, 5, 0, 4.93
91664792183373824, 005706, 0P0001CXPQ, 兴业龙腾双益平衡混合, 保守混合型, 5, 0, 2.55
91664792976097280, 002891, 0P000195H9, 华夏移动互联灵活配置混合(QDII)人民币, 环球股债混合, 5, 0, -5.91
91664793735266304, 002892, 0P000195HB, 华夏移动互联灵活配置混合(QDII)美元现汇, 环球股债混合, 5, 0, -6.22
91664794439909376, 070002, F020070002, 嘉实增长混合, 标准混合型, 5, 4, -1.14
91664795173912576, 000297, 0P000156SC, 鹏华可转债债券A, 可转债基金, 5, 5, 21.27
91664795941470208, 000906, 0P0001586G, 广发全球精选股票(QDII)美元现汇, 环球股票, 5, 5, -3.27
91664796704833536, 040046, 0P0000YXTA, 华安纳斯达克100指数QDII - 人民币, 美国股票, 5, 5, 16.63
91664797426253824, 040048, 0P0000YXTC, 华安纳斯达克100指数QDII - 美元现汇, 美国股票, 5, 5, 16.24
91664798202200064, 240018, 0P0000SOSM, 华宝可转债债券A, 可转债基金, 5, 4, 19.56
91664798982340608, 004965, 0P0001BFFO, 泓德致远混合A, 保守混合型, 5, 0, -4.47
91664799707955200, 004966, 0P0001BFFP, 泓德致远混合C, 保守混合型, 5, 0, -5.04
91664800739753984, 001901, 0P00019S8F, 前海开源沪港深隆鑫灵活配置混合A, 沪港深保守混合型, 5, 0, 15.59
91664801452785664, 001902, 0P00019S8G, 前海开源沪港深隆鑫灵活配置混合C, 沪港深保守混合型, 5, 0, 15.51
91664819815448576, 320004, F00000040B, 诺安优化收益债券, 积极债券型, 5, 5, 15.31
91664820578811904, 001752, 0P00016H53, 华商信用增强债券C, 积极债券型, 5, 2, 35.95
91664821333786624, 003458, 0P00019T3Z, 嘉实稳宏债券A, 积极债券型, 5, 0, 18.61
91664822109732864, 360013, 0P0000STW8, 光大保德信信用添益债券A, 积极债券型, 5, 5, 10.84
91664822856318976, 004932, 0P0001BI6N, 招商丰拓灵活配置混合A, 保守混合型, 5, 0, 8.63
91664823569350656, 000014, 0P0000Y35F, 华夏聚利债券, 积极债券型, 5, 5, 9.28
91664824336908288, 005015, 0P0001BU8W, 泰康景泰回报混合C, 保守混合型, 5, 0, 8.07
91664825041551360, 004267, 0P00019LLB, 金鹰持久增利债券(LOF)E, 积极债券型, 5, 0, 9.86
91664825817497600, 000121, 0P0000Z3OX, 华夏永福混合A, 保守混合型, 5, 5, 4.04
91664826564083712, 002459, 0P0001967S, 华夏鼎利债券A, 积极债券型, 5, 0, 3.75
91664827293892608, 110035, 0P0000UGBS, 易方达双债增强债券 - A, 积极债券型, 5, 5, 14.46
91664828103393280, 110036, 0P0000UGBT, 易方达双债增强债券 - C, 积极债券型, 5, 5, 14.07
91664828854173696, 003204, 0P0001A90H, 财通收益增强债券C, 积极债券型, 5, 0, 17.27
91664829630119936, 001751, 0P00016H52, 华商信用增强债券A, 积极债券型, 5, 2, 36.30
91664830376706048, 675011, 0P0000W7MV, 西部利得稳健双利债券A, 积极债券型, 5, 5, 15.88
91664831152652288, 675013, 0P0000W7MX, 西部利得稳健双利债券C, 积极债券型, 5, 5, 15.57
91664831903432704, 003459, 0P00019T40, 嘉实稳宏债券C, 积极债券型, 5, 0, 18.30
91664832624852992, 005014, 0P0001BU8V, 泰康景泰回报混合A, 保守混合型, 5, 0, 8.32
91664833350467584, 360014, 0P0000STW9, 光大保德信信用添益债券C, 积极债券型, 5, 5, 10.47
91664834092859392, 004933, 0P0001BI6O, 招商丰拓灵活配置混合C, 保守混合型, 5, 0, 8.15
91664834914942976, 005664, 0P0001CNFR, 鹏扬景欣混合A, 保守混合型, 5, 0, 7.12
91664835661529088, 162105, 0P00015HW3, 金鹰持久增利债券(LOF)C, 积极债券型, 5, 4, 9.57
91664836492001280, 005665, 0P0001CNFS, 鹏扬景欣混合C, 保守混合型, 5, 0, 6.80
91664837209227264, 002460, 0P0001967T, 华夏鼎利债券C, 积极债券型, 5, 0, 3.70
91664837960007680, 001685, 0P00018CFA, 汇添富沪港深新价值股票, 香港股票型基金, 5, 0, 5.98
91664856272338944, 002351, 0P00017AMH, 易方达裕祥回报债券, 积极债券型, 5, 5, 5.29
91664856993759232, 005121, 0P0001BJPU, 富国兴利增强债券, 积极债券型, 5, 0, 11.90
